n;time
1000;0.001809
2000;0.008525
3000;0.018285
4000;0.034607
5000;0.052857
6000;0.075598
7000;0.104814
8000;0.136955
9000;0.173575
10000;0.215131
11000;0.261717
12000;0.312490
13000;0.365864
14000;0.428177
15000;0.493036
16000;0.557650
17000;0.627621
18000;0.708808
19000;0.783266
20000;0.863253
21000;0.951544
22000;1.080452
23000;1.143573
24000;1.304330
25000;1.399783
26000;1.455223
27000;1.572675
28000;1.693498
29000;1.812259
30000;1.933723
31000;2.064901
32000;2.242235
33000;2.339022
34000;2.503460
35000;2.643337
36000;2.787134
37000;2.950986
38000;3.156797
39000;3.290766
40000;3.455237
41000;3.617740
42000;3.816421
43000;4.010037
44000;4.180508
45000;4.363326
46000;4.562926
47000;4.768356
48000;8.023309
49000;10.420608
50000;10.631003
51000;11.748148
52000;12.227665
53000;12.062553
54000;12.976498
55000;13.151689
56000;13.501871
57000;14.127151
58000;14.000147
59000;15.129884
60000;15.149992
61000;16.650471
62000;16.902985
63000;17.179947
64000;17.697644
65000;17.607882
66000;19.260988
67000;19.679705
68000;19.464813
69000;19.900261
70000;20.839692
71000;21.651200
72000;22.804119
73000;23.266536
74000;24.997214
75000;25.141996
76000;25.096513
77000;25.923404
78000;27.265590
79000;26.108807
80000;26.957572
81000;28.728838
82000;29.470810
83000;29.760706
84000;30.628852
85000;30.478709
86000;31.724027
87000;31.589822
88000;34.720208
89000;34.500017
90000;34.709813
91000;37.117024
92000;36.694033
93000;37.626189
94000;37.064684
95000;39.218797
96000;39.110368
97000;40.841957
98000;42.173039
99000;43.815938
100000;43.376318
101000;43.304847
102000;44.603938
103000;45.111372
104000;46.452634
105000;46.153550
106000;49.305141
107000;51.509547
108000;50.380643
109000;51.439079
110000;49.293153
111000;52.603544
112000;55.128780
113000;54.899592
114000;55.443713
115000;57.574501
116000;58.323801
117000;60.165341
118000;59.561488
119000;61.216216
120000;62.835275
121000;62.851366
122000;64.746416
123000;65.002482
124000;67.205477
125000;67.759963
126000;67.445985
127000;69.834669
128000;70.402943
129000;74.232283
130000;74.075114
131000;73.216659
132000;79.256725
133000;77.551507
134000;78.599958
135000;80.718638
136000;78.543848
137000;80.825733
138000;82.802184
139000;83.864553
140000;82.883651
141000;85.031447
142000;87.895016
143000;89.507357
144000;89.628820
145000;92.162830
146000;94.430279
147000;91.860886
148000;94.567300
149000;98.067092
150000;98.434524
151000;99.364221
152000;99.636634
153000;101.360585
154000;104.803796
155000;104.543174
156000;105.320307
157000;110.578391
158000;108.703568
159000;109.403068
160000;110.776213
161000;112.655554
162000;115.460344
163000;119.322291
164000;116.881206
165000;117.931145
166000;119.765597
167000;118.676362
168000;123.367234
169000;122.319463
170000;125.001744
171000;128.205512
172000;127.535650
173000;130.267306
174000;128.875388
175000;135.521748
