n;time
1000;0.001828
2000;0.007845
3000;0.017686
4000;0.031325
5000;0.050488
6000;0.071184
7000;0.096809
8000;0.130054
9000;0.163834
10000;0.203438
11000;0.242600
12000;0.297445
13000;0.345372
14000;0.396850
15000;0.465150
16000;0.524007
17000;0.592244
18000;0.660187
19000;0.741118
20000;0.814366
21000;0.889344
22000;0.972488
23000;1.111038
24000;1.167554
25000;1.268281
26000;1.374592
27000;1.474508
28000;1.584876
29000;1.705340
30000;1.812006
31000;1.930439
32000;2.063250
33000;2.195299
34000;2.335452
35000;2.519896
36000;2.627420
37000;2.752462
38000;2.981647
39000;3.087702
40000;3.261495
41000;3.400385
42000;3.562402
43000;3.755871
44000;3.934351
45000;4.112809
46000;4.284466
47000;4.482197
48000;4.664162
49000;7.146024
50000;10.484676
51000;10.104170
52000;10.595406
53000;11.224838
54000;11.129442
55000;11.738850
56000;13.681335
57000;12.976494
58000;13.210323
59000;13.819704
60000;14.899859
61000;15.283099
62000;15.670885
63000;15.559700
64000;16.822943
65000;17.301739
66000;17.186086
67000;18.808678
68000;18.857416
69000;19.414424
70000;19.815217
71000;20.596390
72000;21.521286
73000;21.613102
74000;22.133147
75000;23.084749
76000;23.636340
77000;23.398466
78000;24.977223
79000;24.653209
80000;26.285974
81000;26.805604
82000;28.008218
83000;28.977358
84000;29.929049
85000;29.640661
86000;30.991940
87000;30.093152
88000;31.097895
89000;32.788420
90000;35.323257
91000;32.759528
92000;35.177734
93000;34.523902
94000;35.238695
95000;35.359487
96000;37.525738
97000;37.538158
98000;39.851136
99000;39.616149
100000;40.351137
101000;40.417143
102000;42.140042
103000;43.391360
104000;44.337859
105000;46.196468
106000;45.279964
107000;47.813998
108000;48.057195
109000;47.945337
110000;48.841845
111000;50.848945
112000;52.276045
113000;52.914168
114000;52.922114
115000;54.009760
116000;55.685205
117000;55.896507
118000;56.176187
119000;57.852867
120000;56.585555
121000;58.408976
122000;59.837905
123000;62.227968
124000;63.291088
125000;63.538141
126000;63.390471
127000;64.612692
128000;66.516801
129000;68.777552
130000;68.412775
131000;69.198378
132000;69.355876
133000;70.683835
134000;73.717213
135000;77.356838
136000;74.124625
137000;76.202578
138000;78.213438
139000;79.929371
140000;80.703866
141000;80.482658
142000;83.305125
143000;84.953490
144000;84.155562
145000;86.723329
146000;88.593983
147000;89.223873
148000;90.591982
149000;89.612333
150000;90.839265
151000;92.503236
152000;93.542988
153000;94.610062
154000;97.723413
155000;97.844128
156000;99.255866
157000;99.977701
158000;102.181044
159000;103.905338
160000;109.704655
161000;107.038390
162000;106.816699
163000;106.947401
164000;111.529433
165000;111.680196
166000;104.232649
167000;113.283130
168000;115.267998
169000;118.220965
170000;118.696184
171000;118.130311
172000;120.856176
173000;122.813521
174000;121.981017
175000;123.675675
