n;time
1000;0.002024
2000;0.008140
3000;0.018383
4000;0.033719
5000;0.051145
6000;0.073182
7000;0.099548
8000;0.130561
9000;0.164903
10000;0.205049
11000;0.248044
12000;0.294393
13000;0.347535
14000;0.401582
15000;0.460518
16000;0.523967
17000;0.592111
18000;0.663234
19000;0.739272
20000;1.368036
21000;1.838888
22000;2.007533
23000;2.175703
24000;2.331197
25000;2.488113
26000;2.734176
27000;3.027477
28000;3.299594
29000;3.440585
30000;3.712431
31000;4.053614
32000;4.121090
33000;4.507773
34000;4.794037
35000;5.002671
36000;5.372178
37000;5.579033
38000;5.883500
39000;6.246302
40000;6.627942
41000;6.973641
42000;7.166695
43000;7.648672
44000;7.916959
45000;8.447664
46000;8.729472
47000;9.472302
48000;9.401084
49000;9.838059
50000;10.298997
51000;10.595850
52000;10.974067
53000;11.455650
54000;11.979923
55000;12.285415
56000;12.799881
57000;13.771666
58000;13.932280
59000;14.178917
60000;14.722171
61000;15.176299
62000;15.695178
63000;16.117978
64000;16.806120
65000;17.305322
66000;18.183101
67000;18.330639
68000;19.061380
69000;19.621851
70000;20.151091
71000;20.618294
72000;21.395905
73000;21.675416
74000;22.355758
75000;23.574932
76000;23.697951
77000;24.323069
78000;24.793189
79000;25.575332
80000;26.241178
