n;time
1000;0.001917
2000;0.008031
3000;0.018341
4000;0.031689
5000;0.050995
6000;0.071579
7000;0.098009
8000;0.129107
9000;0.164307
10000;0.202500
11000;0.248942
12000;0.294696
13000;0.343043
14000;0.399328
15000;0.466637
16000;0.530769
17000;0.592698
18000;0.658656
19000;0.746942
20000;0.816254
21000;0.894761
22000;0.986081
23000;1.072518
24000;1.164366
25000;1.346489
26000;1.434623
27000;1.480566
28000;1.585874
29000;1.709607
30000;1.827582
31000;1.942322
32000;2.073641
33000;2.233040
34000;2.355894
35000;2.478602
36000;2.625620
37000;2.776384
38000;2.936637
39000;3.103893
40000;3.253758
41000;3.414873
42000;3.587356
43000;3.768340
44000;3.937149
45000;4.113826
46000;4.290680
47000;4.476109
48000;4.681655
49000;8.323025
50000;10.378866
51000;10.650965
52000;11.147728
53000;11.575884
54000;11.925907
55000;12.627846
56000;12.740414
57000;13.893371
58000;13.932643
59000;14.304203
60000;14.919652
61000;15.048126
62000;15.439635
63000;16.047477
64000;15.775010
65000;17.965834
66000;17.963224
67000;17.330980
68000;18.856451
69000;18.780441
70000;20.663995
71000;20.347314
72000;21.471633
73000;21.678154
74000;22.111538
75000;22.744340
76000;22.930607
77000;23.307844
78000;24.477280
79000;25.434417
80000;24.784869
81000;27.721100
82000;27.278150
83000;26.812624
84000;27.800772
85000;29.179729
86000;29.407844
87000;31.269899
88000;32.115633
89000;32.307979
90000;32.686000
91000;34.204086
92000;33.397698
93000;35.306886
94000;36.064849
95000;37.607277
96000;38.556202
97000;38.483134
98000;38.956063
99000;39.662044
100000;41.364811
101000;40.518621
102000;43.033477
103000;43.802546
104000;42.718123
105000;45.079092
106000;45.399060
107000;45.319181
108000;46.331568
109000;47.942091
110000;48.372473
111000;50.627243
112000;50.708387
113000;53.193468
114000;53.327022
115000;53.696978
116000;54.500792
117000;55.640547
118000;56.369889
119000;58.138557
120000;59.377950
121000;60.454284
122000;61.033964
123000;60.513865
124000;61.690230
125000;63.456541
126000;66.079081
127000;65.911812
128000;65.886681
129000;69.580525
130000;69.529442
131000;70.155884
132000;70.189093
133000;71.867293
134000;73.850903
135000;75.051023
136000;75.541031
137000;74.549263
138000;77.235766
139000;79.138778
140000;79.289686
141000;79.474982
142000;82.073232
143000;82.882765
144000;85.752954
145000;85.772468
146000;87.927703
147000;86.513594
148000;87.991395
149000;89.067429
150000;92.417809
151000;95.962356
152000;99.113631
153000;96.524309
154000;94.299830
155000;98.967172
156000;98.036719
157000;101.602009
158000;101.586072
159000;102.386479
160000;103.627626
161000;104.643672
162000;106.471048
163000;109.103154
164000;109.627977
165000;110.711246
166000;114.743998
167000;115.030039
168000;115.016880
169000;117.539887
170000;117.379340
171000;119.670260
172000;120.575402
173000;119.889050
174000;126.409599
175000;121.921442
