n;time
1000;0.001987
2000;0.008140
3000;0.018374
4000;0.032703
5000;0.051168
6000;0.073432
7000;0.101151
8000;0.130931
9000;0.165423
10000;0.204856
11000;0.247974
12000;0.294686
13000;0.346504
14000;0.402013
15000;0.468186
16000;0.524015
17000;0.591766
18000;0.662732
19000;0.739578
20000;1.405740
21000;1.754821
22000;2.024794
23000;2.176075
24000;2.340100
25000;2.605880
26000;2.785626
27000;3.010338
28000;3.233191
29000;3.487552
30000;3.714099
31000;3.955712
32000;4.220649
33000;4.374154
34000;4.763590
35000;5.105537
36000;5.354653
37000;5.687192
38000;6.027633
39000;6.373521
40000;6.586778
41000;6.835199
42000;7.240738
43000;7.628672
44000;7.671004
45000;8.357297
46000;8.726287
47000;9.126330
48000;9.509317
49000;9.903327
50000;10.294197
51000;11.179343
52000;11.122225
53000;11.811886
54000;12.002067
55000;12.419041
56000;12.854880
57000;13.875850
58000;13.675465
59000;14.354835
60000;14.939364
61000;15.549666
62000;15.847544
63000;16.423073
64000;16.792158
65000;17.449911
66000;18.073116
67000;18.628244
68000;18.903427
69000;20.204403
70000;20.218262
71000;20.662659
72000;21.364609
73000;22.089450
74000;22.580821
75000;22.812630
76000;23.670387
77000;24.323900
78000;25.052516
79000;25.660621
80000;26.495070
